2015,6,7,2,1,0	0,7,18347,2,0,3225,8,2926,0,0,0,4,0,7,28503,0,11,0,10,1,1,7490,449,0,191,0,37,82,22,5,0,734,1,11327,418,1239,12,0,19,0,7,40,3,3908,68,54,5244,21,605,61,5982,19,16,0,3,2,19090,644,53840,1694,0,2821,0,24,58,4296,1,1008,9,5,18,111,1,1,0,6094,22,7,0,881,5,16,3618,3085,44308,5,7798,64,14,1691,26271,13490,6,0,0,3,0,1468,47,131,643,43,430,0,1,32215,0,0,1624,13644,0,2994,4,82,3,3,16,16,0,1,23,17,0,0,63,22304,1858,0,4413
2015,6,4,2,1,0	0,3,13144,1,0,4496,1,6254,0,0,0,8,3,3,35477,0,7,0,7,1,1,9039,291,0,97,0,42,33,16,1,0,408,0,14844,378,1125,19,0,15,1,4,17,2,3605,19,40,5502,12,251,61,6609,4,7,0,4,0,18280,420,70852,1763,0,1807,1,15,45,1894,1,643,7,10,8,49,0,1,0,8188,18,12,0,640,1,14,4983,1731,64575,12,10183,31,8,1164,29614,8425,3,0,1,1,0,1164,19,114,429,22,129,0,0,37371,1,0,990,12411,0,2878,0,31,3,0,1,6,0,3,23,12,0,0,30,22554,1141,0,5039
2015,6,5,2,1,0	1,8,15377,0,0,4339,3,5604,0,0,0,19,5,4,36460,0,8,0,4,0,1,8547,312,0,137,0,37,39,26,3,0,455,0,15255,390,1196,9,0,18,1,11,30,1,3648,32,47,4919,10,336,46,5954,7,11,0,2,2,19939,416,68503,1942,0,2579,1,25,44,2226,0,826,13,3,11,62,0,1,0,7806,23,11,0,614,4,12,4780,2069,62706,40,9898,41,9,1452,29935,9641,3,0,1,9,0,1249,22,156,566,23,192,0,0,36831,0,0,951,12725,0,3455,1,45,8,1,3,13,0,0,23,13,0,0,50,23272,1806,1,4394
2015,6,10,2,1,0	0,3,11163,2,0,4783,1,5814,0,2,0,11,1,5,32907,0,11,0,5,0,2,8548,258,0,87,0,50,32,20,1,0,394,0,14612,368,1073,3,0,15,0,1,17,3,3226,19,48,4911,5,202,48,6689,7,3,0,5,14,16900,323,71365,1731,0,1658,0,22,38,1518,0,678,10,11,5,57,1,0,0,7537,13,1,0,484,3,16,4712,1646,62374,2,9719,27,5,994,27311,7420,2,0,1,2,0,1155,17,106,444,21,64,0,1,35138,0,0,708,12423,0,2634,0,36,6,2,4,8,0,1,22,10,0,0,26,22572,1091,0,4457
2015,6,11,2,1,0	0,7,12578,4,0,4694,2,5765,0,0,0,5,3,3,34383,2,12,0,2,1,0,8780,288,0,107,0,39,48,25,4,0,476,0,14722,415,1142,3,0,12,2,6,39,1,3538,20,45,4994,7,208,44,6616,13,11,0,5,0,17648,434,69593,1759,0,1605,0,11,38,1848,0,640,4,7,10,53,1,0,0,8270,14,1,0,544,4,14,4950,1631,64237,3,10141,38,6,1108,29078,8245,6,1,3,1,0,1191,11,120,487,34,97,0,4,37868,0,0,828,13129,0,2810,5,27,5,3,2,6,0,0,29,10,0,0,36,22765,1111,0,4520
2015,6,12,2,1,0	0,5,15101,5,0,4605,2,4941,0,0,0,13,1,0,35543,0,7,0,8,1,2,8614,319,0,122,0,33,43,17,1,1,416,0,14253,381,1129,2,0,15,1,6,32,0,3775,32,56,4710,13,281,55,6136,6,7,0,5,0,19638,375,67871,1869,0,2145,0,14,43,2004,1,810,9,6,11,55,0,0,0,7495,13,3,0,613,5,14,4585,2076,61534,3,10308,48,7,1269,29682,9197,2,0,0,5,0,1365,17,129,573,14,156,1,1,36940,0,0,917,13370,0,2927,1,41,6,0,6,5,0,1,25,8,0,0,42,23316,1542,0,4147
2015,6,13,2,1,0	0,8,20342,4,0,4118,3,2850,1,0,0,7,3,7,33998,0,11,0,11,1,4,8777,382,0,171,0,51,70,28,4,0,522,0,12351,378,1130,7,0,23,3,17,32,2,4269,38,63,2477,14,442,70,6241,22,14,0,11,3,22377,666,57047,1650,0,2501,0,17,78,3282,1,939,18,11,15,85,1,0,0,6596,22,6,1,685,10,27,3635,2545,51637,4,9649,50,18,1471,30652,13741,5,0,0,2,0,1708,31,174,556,39,256,0,3,36235,0,0,1315,15335,0,3073,7,62,2,4,2,17,0,1,39,13,0,0,45,21595,1843,0,1898
2015,6,14,2,1,0	0,10,18986,4,0,3658,5,2388,0,0,0,4,3,8,27571,3,13,0,19,3,4,7283,401,0,155,0,41,80,36,5,0,639,0,10844,363,1157,8,0,25,4,9,37,3,3704,42,82,4784,25,623,64,4732,12,19,0,14,6,18389,855,49146,1520,0,2683,1,22,53,4081,1,1056,17,16,18,99,0,2,0,5368,24,6,0,709,9,8,3036,2654,38859,5,8056,88,10,1463,26316,12887,8,0,1,4,1,1536,30,140,717,45,354,0,4,30981,0,0,1754,14433,0,2654,1,65,7,3,4,11,0,1,43,12,0,0,54,22505,1507,1,4064
2015,6,15,2,1,0	0,5,8924,1,1,4069,2,4784,0,0,0,2,2,3,28268,1,10,0,4,0,3,7039,298,0,118,0,33,43,12,3,0,285,0,13283,334,881,2,0,16,1,7,24,0,2427,17,60,6110,13,221,43,5360,10,9,0,4,2,14266,289,64155,1512,0,1544,0,14,48,1266,0,627,3,10,5,49,0,1,0,6162,14,2,0,470,6,19,3726,1828,53157,1,7953,39,6,978,22733,5393,0,0,0,4,0,917,17,120,382,19,91,0,0,30997,0,0,641,9873,0,2469,1,37,2,1,1,7,0,0,23,10,0,0,28,22918,973,0,5522
2015,6,16,2,1,0	1,3,10264,2,0,4408,0,4990,0,0,0,6,1,3,31510,1,7,0,4,0,1,8061,265,0,82,0,21,33,21,1,0,311,0,14366,340,872,2,0,10,0,6,16,17,2641,13,56,5791,7,182,41,5884,3,5,0,8,1,15828,288,69337,1572,0,1464,0,12,46,1390,0,569,4,4,13,36,0,2,0,6956,19,2,0,478,4,7,4270,1536,57465,2,9078,31,2,968,25495,6010,4,0,0,1,0,1030,11,114,364,27,75,0,2,32796,0,0,615,11350,0,2524,0,36,0,0,0,8,0,0,19,6,0,0,25,22923,960,0,5330
