2015,1,19,2,1,0	7788,3,11565,2,0,2536,6,3618,1,0,0,2,1,3,24509,1,6,0,3,0,2,6939,277,1,86,0,37,51,9,2,0,273,0,10578,286,689,3,0,13,1,5,34,14,2995,16,32,4875,8,223,36,4402,5,7,0,8,0,15173,301,51321,1298,0,1329,0,26,35,1689,0,534,4,2,9,39,0,4,0,4484,17,7,0,413,7,10,3299,1844,47065,5,5692,19,5,1196,22695,6873,1,2,1,5,0,1029,9,105,315,18,98,0,4,29479,0,0,703,12550,0,1903,1,24,1,0,3,5,0,1,24,9,0,0,28,21205,850,0,3559
2015,1,18,2,1,0	12649,7,24328,3,0,2568,9,2981,1,0,0,9,2,14,33221,0,11,0,16,0,11,8437,506,0,149,0,87,75,17,14,0,621,0,11360,417,1068,21,0,28,2,26,36,1,4460,53,80,2968,15,522,78,4771,8,20,0,11,4,24345,775,60083,1873,0,2442,0,34,71,3936,0,1017,22,20,14,86,0,2,0,6055,24,9,2,771,12,5,3711,3269,46792,6,6176,47,16,2050,30128,16090,14,0,0,3,0,1836,41,197,592,28,349,0,40,34110,0,0,1650,15731,0,2369,0,54,10,1,4,22,0,3,56,29,0,3,63,22501,1280,0,1770
2015,1,28,2,1,0	7309,6,9747,1,0,3716,1,5558,0,2,0,6,3,4,30403,0,17,0,6,2,2,7419,290,0,89,0,34,29,24,2,0,343,0,13446,333,859,2,0,19,0,2,18,5,2612,8,45,3892,5,212,27,5177,3,1,0,5,2,16014,312,66459,1770,0,1398,0,60,36,1261,0,523,6,8,6,41,0,0,0,6389,22,3,0,498,1,7,4142,1687,56205,2,7627,10,5,1154,24764,5374,5,0,2,3,0,850,10,113,348,14,44,0,3,31821,0,0,635,9833,0,2249,0,28,3,2,2,5,0,0,23,7,0,0,25,21145,899,1,2819
2015,1,29,2,1,0	8700,28,11955,0,0,4120,1,6115,0,0,0,11,2,3,35188,0,10,0,4,0,2,8781,308,0,83,0,40,42,14,7,0,359,0,15923,405,1112,4,0,17,1,3,21,2,3457,16,50,3909,7,216,39,5688,5,9,0,6,1,18757,376,72564,2176,0,1692,0,16,34,1664,0,624,5,6,9,35,0,1,0,7934,30,1,0,616,5,10,4857,1837,62038,1,9326,26,5,1305,28754,7344,2,0,1,6,0,1063,9,140,358,20,93,0,1,35758,0,0,820,11834,0,2728,0,39,2,2,1,3,0,0,36,5,0,1,26,23879,1028,1,2635
2015,1,24,2,1,0	13139,28,24217,2,0,3017,6,4152,0,0,0,11,3,4,37832,0,16,0,14,0,5,10193,415,0,195,0,66,44,29,3,0,554,0,12968,388,935,8,0,37,1,18,15,1,5309,32,79,1944,33,399,59,5244,10,11,0,17,1,25480,551,65549,1989,0,1975,0,21,41,3397,0,763,18,9,21,64,0,3,0,7383,17,6,1,598,3,6,4625,2938,59505,3,7720,42,10,2146,31840,14688,4,0,1,10,0,1831,37,179,444,40,327,0,1,38737,0,0,1315,16220,0,2580,7,36,6,1,6,12,0,0,41,22,0,1,48,23795,1227,0,1066
2015,1,25,2,1,0	12329,15,21593,1,0,2757,3,3368,0,0,0,29,0,2,29798,3,11,0,6,0,0,8612,390,1,132,0,61,52,20,1,0,479,0,10745,379,934,2,0,27,2,7,27,4,4864,29,50,3792,17,426,40,4838,11,5,0,10,1,22318,484,52804,1830,0,1751,0,24,46,3382,0,722,4,6,8,58,0,3,0,6406,14,7,1,659,3,8,3898,2715,49166,4,6747,34,7,1758,27904,16195,2,2,0,2,0,1812,34,138,415,25,298,0,2,34676,0,0,1287,13452,0,2172,4,30,6,3,1,9,0,1,39,5,0,0,38,21076,1143,1,2607
2015,1,26,2,1,0	4268,2,6043,1,0,2209,0,3606,0,3,0,3,2,6,17739,0,7,0,11,0,1,3557,371,0,88,0,52,35,4,2,1,216,0,8136,254,588,3,0,25,1,5,36,3,1211,13,53,1646,11,153,32,3306,1,11,0,6,1,8997,161,34196,1333,0,1445,0,21,31,893,0,581,4,8,4,27,0,2,0,3415,14,2,0,420,4,12,2704,1652,38138,1,3977,11,10,846,14088,3320,5,0,1,1,0,589,9,142,371,12,61,0,2,21163,0,0,389,6476,0,2122,0,22,2,0,2,10,0,0,28,6,0,0,44,13552,1003,0,918
2015,1,27,2,1,0	2589,6,4687,0,0,1036,2,1619,0,1,0,6,0,4,10613,0,4,0,3,0,1,2687,164,0,53,0,29,19,15,3,0,124,0,3792,129,296,6,0,11,0,6,9,3,1083,4,36,422,11,82,22,2111,3,4,0,5,2,6280,139,26110,582,0,728,0,13,22,558,0,253,1,3,3,20,0,3,0,2139,11,1,0,161,4,3,1446,909,22545,1,2326,20,9,443,7677,2301,3,0,0,1,0,390,2,79,160,9,19,0,0,12761,0,0,320,3410,0,1069,0,24,2,0,0,7,0,0,26,10,0,0,27,5424,483,0,194
2015,1,20,2,1,0	8113,15,9928,3,0,3779,0,5734,0,0,0,3,2,1,31778,0,6,0,1,0,0,8585,331,0,88,0,26,44,10,1,0,363,0,14850,312,865,3,0,11,0,8,11,0,2909,14,62,4068,8,156,45,5525,3,3,0,3,0,16315,292,71609,1862,0,1437,0,10,22,1328,0,536,6,4,10,33,0,2,0,6891,12,2,0,455,1,7,4159,1659,58426,1,8336,18,3,1367,25739,6409,3,1,2,4,0,998,5,93,317,17,66,1,1,32917,0,0,683,12452,0,2340,0,25,0,0,1,4,0,0,30,11,0,2,22,24333,828,0,2830
2015,1,21,2,1,0	8979,3,11018,1,0,4117,6,5782,0,0,0,18,5,1,34271,0,4,0,5,0,2,9332,300,0,85,0,28,34,11,1,0,312,0,15995,335,952,0,0,18,1,2,19,0,2977,9,80,3442,28,182,38,5610,3,6,0,2,2,17820,290,79196,2000,0,1438,0,13,30,1391,0,609,4,6,3,35,0,3,0,7735,4,1,0,469,0,5,4647,1605,60818,1,9206,22,4,1176,28191,6839,2,1,0,8,0,1003,18,110,394,11,70,0,1,35340,0,0,727,12775,0,2258,0,31,2,0,0,3,0,0,25,5,0,0,29,24897,867,1,2343
